id,name,category,brand,price,stock,icon,description,image,rating,review_count,is_active,created_at,updated_at
1,"Samsung Galaxy S24 Ultra",smartphone,Samsung,19999000,3,📱,"Experience the new era of mobile AI. The Galaxy S24 Ultra empowers you to unleash your creativity, productivity and possibilities – starting with the most important device in your life. (Snapdragon 8 Gen 3, Kamera 200MP Main, Display 6.8"" Dynamic AMOLED 2X, Battery 5000mAh, Garansi Resmi Official Warranty)",products/b68BRBuwTQTBjrTFjiD9ZQn5vGSgqCebxAD1ylMX.jpg,4.9,128,1,"2026-08-31 11:36:15","2026-09-01 02:21:54"
2,"iPhone 15 Pro 256GB",smartphone,Apple,20999000,1,🍎,"Desain titanium yang tangguh dan ringan kelas penerbangan. Chipset A17 Pro revolusioner dengan GPU 6-core pro, tombol Tindakan yang dapat disesuaikan, dan sistem kamera pro serbaguna.",,5,89,1,"2026-08-31 11:36:15","2026-08-31 12:12:28"
3,"Xiaomi 14 Leica Camera",smartphone,Xiaomi,11999000,7,📱,"Optik Leica Generasi Baru dengan Lensa Summilux. Ditenagai Snapdragon 8 Gen 3, pengisian daya super cepat 90W HyperCharge, dan layar CrystalRes AMOLED 120Hz.",,4.8,56,1,"2026-08-31 11:36:15","2026-08-31 13:05:44"
4,"Oppo Reno 11 Pro 5G",smartphone,Oppo,8499000,10,📱,"Sistem Kamera Potret Kelas Unggulan dengan Sensor Sony IMX890. Desain 3D Dual-Curved ultra elegan, baterai besar dengan 80W SUPERVOOC Flash Charge.",,4.7,210,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
5,"Samsung Galaxy A55",smartphone,Samsung,5499000,15,📱,"Desain metalik ikonik dengan proteksi air dan debu IP67. Kamera 50MP Nightography dengan OIS, layar Super AMOLED FHD+ 120Hz yang sangat jernih.",,4.6,304,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
6,"Vivo V30 Pro",smartphone,Vivo,7499000,7,📱,"ZEISS Professional Portrait Camera dengan Aura Light Portrait pintar. Bodi super tipis dengan baterai besar 5000mAh & 80W FlashCharge.",,4.5,78,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
7,"Realme GT 6",smartphone,Realme,6999000,4,📱,"Flagship Killer bertenaga Snapdragon 8s Gen 3. Layar Ultra Bright 6000 nits termutakhir dan pengisian kilat 120W SUPERVOOC Charge.",,4.7,91,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
8,"Charger 65W GaN USB-C",aksesoris,Anker,299000,19,🔌,"Teknologi GaN Prime ukuran ringkas dengan efisiensi tinggi. Pengisian daya cepat multi-port untuk laptop, smartphone, dan tablet secara bersamaan.",,4.8,521,1,"2026-08-31 11:36:15","2026-08-31 12:12:28"
9,"TWS Earbuds Pro ANC",aksesoris,Xiaomi,499000,12,🎧,"Active Noise Cancellation hingga 40dB dengan audio resolusi tinggi Hi-Res Wireless. Daya tahan baterai hingga 28 jam dengan cangkang pengisi daya.",,4.6,187,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
10,"Tempered Glass iPhone 15",aksesoris,Spigen,89000,29,📱,"Kekuatan kaca 9H hardness anti-gores, lapisan oleophobic anti-sidik jari, dan transmisi cahaya tinggi presisi edge-to-edge.",,4.7,445,1,"2026-08-31 11:36:15","2026-08-31 13:54:48"
11,"Powerbank 20000mAh 65W",aksesoris,Baseus,549000,9,🔋,"Kapasitas raksasa 20000mAh dengan pengisian cepat PD 65W dua arah. Dilengkapi layar LCD indikator persentase baterai real-time.",,4.8,238,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
12,"Case Samsung S24 Ultra",aksesoris,Spigen,149000,25,📦,"Perlindungan jatuh standar militer (Military Grade Drop Protection) dengan teknologi Air Cushion di setiap sudutnya.",,4.5,312,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
13,"Pulsa Telkomsel 50.000",pulsa,Telkomsel,50000,999,📶,"Isi ulang pulsa reguler Telkomsel instant 24 jam untuk memperpanjang masa aktif dan transaksi layanan.",,5,1000,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
14,"Paket Data XL 30GB 30hr",pulsa,XL,65000,999,📡,"Kuota utama 30GB berlaku 24 jam di semua jaringan + bonus kuota lokal 10GB untuk masa aktif 30 hari.",,4.6,678,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
15,"Paket Data Indosat 25GB",pulsa,Indosat,55000,999,📡,"IM3 Ooredoo 25GB kuota utama tanpa pembagian waktu, berlaku selama 30 hari.",,4.5,423,1,"2026-08-31 11:36:15","2026-08-31 11:36:15"
